Model,CV F1 Mean,CV F1 Std,Test Accuracy,Test Precision,Test Recall,Test F1,Test ROC-AUC,Confusion Matrix
Logistic Regression,0.786513024747894,0.016530830520758308,0.6582278481012658,0.7166666666666667,0.8113207547169812,0.7610619469026548,0.5921625544267055,"[[ 9 17]
 [10 43]]"
Decision Tree,0.7885466712658186,0.04194666940848045,0.6708860759493671,0.7213114754098361,0.8301886792452831,0.7719298245614035,0.6077648766328011,"[[ 9 17]
 [ 9 44]]"
Random Forest,0.8097568476778203,0.02714461445669539,0.6708860759493671,0.6956521739130435,0.9056603773584906,0.7868852459016393,0.6516690856313497,"[[ 5 21]
 [ 5 48]]"
XGBoost,0.7988527724921918,0.029281172779623787,0.6329113924050633,0.7068965517241379,0.7735849056603774,0.7387387387387387,0.5943396226415094,"[[ 9 17]
 [12 41]]"
